note_t-2,note_t-1,label
D4,D4,D4
D4,D4,D4
D4,D4,D4
D4,D4,E4
D4,E4,E4
E4,E4,E4
E4,E4,E4
E4,E4,FS4
E4,FS4,G4
FS4,G4,A4
G4,A4,A4
A4,A4,G4
A4,G4,FS4
G4,FS4,FS4
FS4,FS4,E4
FS4,E4,A4
E4,A4,FS4
A4,FS4,FS4
FS4,FS4,FS4
FS4,FS4,FS4
FS4,FS4,G4
FS4,G4,E4
G4,E4,E4
E4,E4,E4
E4,E4,FS4
E4,FS4,G4
FS4,G4,FS4
G4,FS4,E4
FS4,E4,D4
E4,D4,CS4
D4,CS4,D4
CS4,D4,D4
D4,D4,D4
D4,D4,D4
D4,D4,D4
D4,D4,D4
D4,D4,D4
D4,D4,E4
D4,E4,E4
E4,E4,E4
E4,E4,E4
E4,E4,FS4
E4,FS4,G4
FS4,G4,A4
G4,A4,A4
A4,A4,G4
A4,G4,FS4
G4,FS4,FS4
FS4,FS4,E4
FS4,E4,E4
E4,E4,A4
E4,A4,FS4
A4,FS4,FS4
FS4,FS4,FS4
FS4,FS4,FS4
FS4,FS4,G4
FS4,G4,E4
G4,E4,E4
E4,E4,E4
E4,E4,E4
E4,E4,FS4
E4,FS4,G4
FS4,G4,FS4
G4,FS4,E4
FS4,E4,D4
E4,D4,CS4
D4,CS4,D4
CS4,D4,D4
D4,D4,A3
D4,A3,D4
A3,D4,D4
D4,D4,D4
D4,D4,D4
D4,D4,E4
D4,E4,E4
E4,E4,E4
E4,E4,E4
E4,E4,FS4
E4,FS4,G4
FS4,G4,A4
G4,A4,A4
A4,A4,G4
A4,G4,FS4
G4,FS4,FS4
FS4,FS4,E4
FS4,E4,E4
E4,E4,A4
E4,A4,FS4
A4,FS4,FS4
FS4,FS4,FS4
FS4,FS4,FS4
FS4,FS4,FS4
FS4,FS4,G4
FS4,G4,E4
G4,E4,E4
E4,E4,E4
E4,E4,E4
E4,E4,FS4
E4,FS4,G4
FS4,G4,FS4
G4,FS4,E4
FS4,E4,D4
E4,D4,CS4
D4,CS4,D4
CS4,D4,D4
D4,D4,0
D4,0,G4
0,G4,A4
G4,A4,G4
A4,G4,F4
G4,F4,E4
F4,E4,F4
E4,F4,G4
F4,G4,D4
G4,D4,E4
D4,E4,F4
E4,F4,E4
F4,E4,F4
E4,F4,G4
F4,G4,G4
G4,G4,A4
G4,A4,G4
A4,G4,F4
G4,F4,E4
F4,E4,F4
E4,F4,G4
F4,G4,D4
G4,D4,G4
D4,G4,E4
G4,E4,C4
E4,C4,G4
C4,G4,A4
G4,A4,G4
A4,G4,F4
G4,F4,E4
F4,E4,F4
E4,F4,G4
F4,G4,D4
G4,D4,E4
D4,E4,F4
E4,F4,E4
F4,E4,F4
E4,F4,G4
F4,G4,G4
G4,G4,A4
G4,A4,G4
A4,G4,F4
G4,F4,E4
F4,E4,F4
E4,F4,G4
F4,G4,D4
G4,D4,G4
D4,G4,E4
G4,E4,C4
E4,C4,G4
C4,G4,A4
G4,A4,G4
A4,G4,F4
G4,F4,E4
F4,E4,F4
E4,F4,G4
F4,G4,D4
G4,D4,E4
D4,E4,F4
E4,F4,E4
F4,E4,F4
E4,F4,G4
F4,G4,G4
G4,G4,A4
G4,A4,G4
A4,G4,F4
G4,F4,E4
F4,E4,F4
E4,F4,G4
F4,G4,D4
G4,D4,G4
D4,G4,E4
G4,E4,C4
E4,C4,G4
C4,G4,A4
G4,A4,G4
A4,G4,F4
G4,F4,E4
F4,E4,F4
E4,F4,G4
F4,G4,D4
G4,D4,E4
D4,E4,F4
E4,F4,E4
F4,E4,F4
E4,F4,G4
F4,G4,G4
G4,G4,A4
G4,A4,G4
A4,G4,F4
G4,F4,E4
F4,E4,F4
E4,F4,G4
F4,G4,D4
G4,D4,G4
D4,G4,E4
G4,E4,C4
E4,C4,G4
C4,G4,A4
G4,A4,G4
A4,G4,F4
G4,F4,E4
F4,E4,F4
E4,F4,G4
F4,G4,D4
G4,D4,E4
D4,E4,F4
E4,F4,E4
F4,E4,F4
E4,F4,G4
F4,G4,G4
G4,G4,A4
G4,A4,G4
A4,G4,F4
G4,F4,E4
F4,E4,F4
E4,F4,G4
F4,G4,D4
G4,D4,G4
D4,G4,E4
G4,E4,C4
E4,C4,G4
C4,G4,A4
G4,A4,G4
A4,G4,F4
G4,F4,E4
F4,E4,F4
E4,F4,G4
F4,G4,D4
G4,D4,E4
D4,E4,F4
E4,F4,E4
F4,E4,F4
E4,F4,G4
F4,G4,G4
G4,G4,A4
G4,A4,G4
A4,G4,F4
G4,F4,E4
F4,E4,F4
E4,F4,G4
F4,G4,D4
G4,D4,G4
D4,G4,E4
G4,E4,C4
E4,C4,G4
C4,G4,A4
G4,A4,G4
A4,G4,F4
G4,F4,E4
F4,E4,F4
E4,F4,G4
F4,G4,D4
G4,D4,E4
D4,E4,F4
E4,F4,E4
F4,E4,F4
E4,F4,G4
F4,G4,G4
G4,G4,A4
G4,A4,G4
A4,G4,F4
G4,F4,E4
F4,E4,F4
E4,F4,G4
F4,G4,D4
G4,D4,G4
D4,G4,E4
G4,E4,C4
E4,C4,G4
C4,G4,A4
G4,A4,G4
A4,G4,F4
G4,F4,E4
F4,E4,E4
E4,E4,F4
E4,F4,G4
F4,G4,D4
G4,D4,D4
D4,D4,E4
D4,E4,F4
E4,F4,E4
F4,E4,E4
E4,E4,F4
E4,F4,G4
F4,G4,G4
G4,G4,A4
G4,A4,G4
A4,G4,F4
G4,F4,E4
F4,E4,E4
E4,E4,F4
E4,F4,G4
F4,G4,D4
G4,D4,G4
D4,G4,E4
G4,E4,C4
E4,C4,G4
C4,G4,G4
G4,G4,A4
G4,A4,G4
A4,G4,F4
G4,F4,F4
F4,F4,E4
F4,E4,E4
E4,E4,F4
E4,F4,G4
F4,G4,D4
G4,D4,D4
D4,D4,E4
D4,E4,F4
E4,F4,E4
F4,E4,E4
E4,E4,F4
E4,F4,G4
F4,G4,G4
G4,G4,G4
G4,G4,A4
G4,A4,G4
A4,G4,F4
G4,F4,F4
F4,F4,E4
F4,E4,E4
E4,E4,F4
E4,F4,G4
F4,G4,D4
G4,D4,G4
D4,G4,E4
G4,E4,C4
E4,C4,0
C4,0,DS4
0,DS4,C4
DS4,C4,C4
C4,C4,C4
C4,C4,C4
C4,C4,DS4
C4,DS4,DS4
DS4,DS4,CS4
DS4,CS4,DS4
CS4,DS4,CS4
DS4,CS4,C4
CS4,C4,AS3
C4,AS3,DS4
AS3,DS4,DS4
DS4,DS4,DS4
DS4,DS4,F4
DS4,F4,DS4
F4,DS4,DS4
DS4,DS4,DS4
DS4,DS4,DS4
DS4,DS4,F4
DS4,F4,DS4
F4,DS4,DS4
DS4,DS4,C4
DS4,C4,GS3
C4,GS3,GS3
GS3,GS3,C4
GS3,C4,C4
C4,C4,C4
C4,C4,DS4
C4,DS4,CS4
DS4,CS4,AS3
CS4,AS3,C4
AS3,C4,GS3
C4,GS3,C4
GS3,C4,C4
C4,C4,C4
C4,C4,DS4
C4,DS4,CS4
DS4,CS4,AS3
CS4,AS3,GS3
AS3,GS3,E4
GS3,E4,CS4
E4,CS4,CS4
CS4,CS4,CS4
CS4,CS4,CS4
CS4,CS4,E4
CS4,E4,E4
E4,E4,D4
E4,D4,E4
D4,E4,D4
E4,D4,CS4
D4,CS4,B3
CS4,B3,E4
B3,E4,E4
E4,E4,E4
E4,E4,FS4
E4,FS4,E4
FS4,E4,E4
E4,E4,E4
E4,E4,E4
E4,E4,FS4
E4,FS4,E4
FS4,E4,E4
E4,E4,CS4
E4,CS4,A3
CS4,A3,A3
A3,A3,CS4
