"note_t-2","note_t-1","label"
62,62,62
62,62,62
62,62,62
62,62,64
62,64,64
64,64,64
64,64,64
64,64,66
64,66,67
66,67,69
67,69,69
69,69,67
69,67,66
67,66,66
66,66,64
66,64,69
64,69,66
69,66,66
66,66,66
66,66,66
66,66,67
66,67,64
67,64,64
64,64,64
64,64,66
64,66,67
66,67,66
67,66,64
66,64,62
64,62,61
62,61,62
61,62,62
62,62,62
62,62,62
62,62,62
62,62,62
62,62,62
62,62,64
62,64,64
64,64,64
64,64,64
64,64,66
64,66,67
66,67,69
67,69,69
69,69,67
69,67,66
67,66,66
66,66,64
66,64,64
64,64,69
64,69,66
69,66,66
66,66,66
66,66,66
66,66,67
66,67,64
67,64,64
64,64,64
64,64,64
64,64,66
64,66,67
66,67,66
67,66,64
66,64,62
64,62,61
62,61,62
61,62,62
62,62,57
62,57,62
57,62,62
62,62,62
62,62,62
62,62,64
62,64,64
64,64,64
64,64,64
64,64,66
64,66,67
66,67,69
67,69,69
69,69,67
69,67,66
67,66,66
66,66,64
66,64,64
64,64,69
64,69,66
69,66,66
66,66,66
66,66,66
66,66,66
66,66,67
66,67,64
67,64,64
64,64,64
64,64,64
64,64,66
64,66,67
66,67,66
67,66,64
66,64,62
64,62,61
62,61,62
61,62,62
62,62,67
62,67,69
67,69,67
69,67,65
67,65,64
65,64,65
64,65,67
65,67,62
67,62,64
62,64,65
64,65,64
65,64,65
64,65,67
65,67,67
67,67,69
67,69,67
69,67,65
67,65,64
65,64,65
64,65,67
65,67,62
67,62,67
62,67,64
67,64,60
64,60,67
60,67,69
67,69,67
69,67,65
67,65,64
65,64,65
64,65,67
65,67,62
67,62,64
62,64,65
64,65,64
65,64,65
64,65,67
65,67,67
67,67,69
67,69,67
69,67,65
67,65,64
65,64,65
64,65,67
65,67,62
67,62,67
62,67,64
67,64,60
64,60,67
60,67,69
67,69,67
69,67,65
67,65,64
65,64,65
64,65,67
65,67,62
67,62,64
62,64,65
64,65,64
65,64,65
64,65,67
65,67,67
67,67,69
67,69,67
69,67,65
67,65,64
65,64,65
64,65,67
65,67,62
67,62,67
62,67,64
67,64,60
64,60,67
60,67,69
67,69,67
69,67,65
67,65,64
